        Serial no.      Change Request # Target\nDate  Ready for Promotion                                                                               Attachment                   EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                       Description  Version Urgency Classification           Weblogic Cluster                                                       EAR file Datasource Team     Requested by                                                                                              Remarks EAP (PROD)  VH3 CORP                 HKEC          Unnamed: 20          Unnamed: 21          Unnamed: 22          Unnamed: 23          Unnamed: 24                 HKWC          Unnamed: 26          Unnamed: 27          Unnamed: 28          Unnamed: 29          Unnamed: 30          Unnamed: 31          Unnamed: 32                  KCC Unnamed: 34          Unnamed: 35 Unnamed: 36          Unnamed: 37 Unnamed: 38 Unnamed: 39 Unnamed: 40  KEC          Unnamed: 42          Unnamed: 43  KWC          Unnamed: 45 Unnamed: 46          Unnamed: 47          Unnamed: 48                 NTEC          Unnamed: 50          Unnamed: 51          Unnamed: 52          Unnamed: 53          Unnamed: 54          Unnamed: 55                 NTWC          Unnamed: 57 Unnamed: 58 Unnamed: 59          Unnamed: 60 Unnamed: 61 Unnamed: 62
358  PPM2021_12011      DSCN-66, DSCN-67          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0497                                                      Y                                                                                              DSCN-66: [DSCN] Change from Jasper Print to PDF Print for DSCN printouts.\nDSCN-67: [DSCN] Apply CMSAF 3.7.0 to DSCN  2021-12      BW     Bi-weeking          CmssecCorpDscnPrd                                  CMS_DSCN_DSCN_APP_4_5_0 4.5.0        NaN  CS4  Wing Chung TANG                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
359  PPM2021_12012                PAF-50          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0464                                                      Y                                                                                                                PAF-50: [PAF] Attach photos to PAF (Nursing) by selection from 'patient album' via new tab 'Photo'  2021-12      BW     Bi-weeking        CmsmiscCorpMiscePrd                                   CMS_CMS_PASF_APP_5_1_0 5.1.0        NaN  CS4     Raymond TING                                         [EAP 12c rollout] Please promote after PA-71 (PPM2021_S0292)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
360  PPM2021_12013  IPMOE-243, IPMOE-244          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0511                                                      Y  IPMOE-243: [IPMOE] To facilitate HA Go My Record App to display IP Discharge and Chemo OP prescription in PDF\nIPMOE-244: [IPMOE] Share information of prescrption pdf image to PMS by sending new order message  2021-12      BW     Bi-weeking        CmstertCorpIpmoePrd                                CMS_MOE_IPMOE_APP_3_11_0 3.11.0        NaN  CS6        Eddie LIN                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-09-04 00:00:00         NaN  2021-08-31 00:00:00         NaN  2021-09-01 00:00:00         NaN         NaN         NaN  NaN  2021-09-01 00:00:00  2021-08-27 00:00:00  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-01 00:00:00  2021-09-01 00:00:00         NaN         NaN  2021-09-01 00:00:00         NaN         NaT
361  PPM2021_12014             OPMOE-123          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0510                                                      Y                                                                                                                                OPMOE-123: [OPMOE] OPMOE to pass phone no. of workstation id to pms via order msg.  2021-12      BW     Bi-weeking          CmstertCorpMoePrd  CMS_MOE_CMSAF_APP_3_2_1 3.2.1,  CMS_MOE_OPMOE_APP_3_0_7 3.0.7        NaN  CS1        Sharan HO                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
362  PPM2021_12015             OBSCIS-31          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0507                                                      Y                                                                                                                             OBSCIS-31: [OBSCIS] To remove unnecessary library dependencies in PPH Form 12c source  2021-12      BW     Bi-weeking       CmstertCorpObscisPrd                                 CMS_OBSCIS_PPH_APP_2_1_0 2.1.0        NaN  CS6      Peter CHONG                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
363  PPM2021_12016                CDB-70          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0504                                                    NaN                                                                                                                                    CDB-70: [CDB] Migration of CDB Applications to use PAS Weblogic 12c WebService  2021-12      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS6     Desmond CHOW                                                 [Fallback in PRD] [EAP 12c rollout] [12C Migration]         NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
364  PPM2021_12017             CIEDRM-15          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0503                                                      Y                                                                                                                                                             CIEDRM-15: [CIEDRM] IT enhancement for CIEDRM 2021/22  2021-12      BW     Bi-weeking        CmsmiscCorpMischPrd                              CMS_CIEDRM_CIEDRM_APP_1_2_1 1.2.1        NaN  CS3      David CHENG                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-09-04 00:00:00         NaN  2021-08-31 00:00:00         NaN  2021-09-01 00:00:00         NaN         NaN         NaN  NaN  2021-09-01 00:00:00  2021-08-27 00:00:00  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-01 00:00:00  2021-09-01 00:00:00         NaN         NaN  2021-09-01 00:00:00         NaN         NaT
365  PPM2021_12018        FIG-22, FIG-23          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0512                                                      Y                                                                                    FIG-22: [FIG] To enhance Fundus Image Grading Form\nFIG-23: [FIG] To remove unnecessary library dependencies in FIG 12c source  2021-12      BW     Bi-weeking        CmsmiscCorpMiscbPrd                                   CMS_FIG_FORM_APP_1_7_0 1.7.0        NaN  CS6      Peter CHONG                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-09-04 00:00:00         NaN  2021-08-31 00:00:00         NaN  2021-09-01 00:00:00         NaN         NaN         NaN  NaN  2021-09-01 00:00:00  2021-08-27 00:00:00  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-01 00:00:00  2021-09-01 00:00:00         NaN         NaN  2021-09-01 00:00:00         NaN         NaT
366  PPM2021_12019           IMGSERVER-8          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0488  ..\EAP\Forms\EAP_CmspriCorpSchedulerpri_21_12019.xlsx                                                                                        IMGSERVER-8: [IMGSERVER] Technical refreshment - Migrate schedule job to WebLogic 12c application server with CMSAF v3.8.0  2021-12      BW     Bi-weeking  CmspriCorpSchedulerpriPrd                      CMS_IMGSERVER_MAINTENANCE_SNG_2_1_0 2.1.0        NaN  CS5       Ho Tak LEE                  [EAP 12c rollout] Please promote in the same batch with IMGSERVER-6 (PPM2021_12020)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
367  PPM2021_12020           IMGSERVER-6          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0487        ..\EAP\Forms\EAP_CmsmiscCorpMiscg_21_12020.xlsx                                                                               IMGSERVER-6: [IMGSERVER] Technical refreshment - Migrate IMGSERVER application to WebLogic 12c application server with CMSAF v3.6.0  2021-12      BW     Bi-weeking        CmsmiscCorpMiscgPrd                             CMS_IMGSERVER_MAIN_WSS_3_1_0 3.1.0        NaN  CS5       Ho Tak LEE  [EAP 12c rollout] [12C Migration] Please promote in the same batch with IMGSERVER-8 (PPM2021_12019)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
368  PPM2021_13001               MRFU-18          NaN  2021-08-24 00:00:00                                                                                      NaN                                                    NaN                                                                                                                                             MRFU-18: [MRFU] Mismatch date of MRAM over the Metabolic risk FU form  2021-13      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS6     Desmond CHOW                                                               [FP Withdrawn and re-submit as Urgent]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
369  PPM2021_13002                THE-11          NaN  2021-08-24 00:00:00                                                                                Withdrawn                                                    NaN                                                                                                                                    THE-11: [THE] Migration of THE Applications to use PAS Weblogic 12c WebService  2021-13      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS6     Desmond CHOW                                                                                [Test Failure in AAT]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
